subject,dice_otsu,jaccard_otsu
IBSR_04,0.7929470254098306,0.6569281068041442
IBSR_04,0.0,0.0
IBSR_04,0.000178831486735927,8.942373925808399e-05
IBSR_04,0.8377257314999654,0.7207642414566116
IBSR_10,0.6040293462813316,0.4326948741166463
IBSR_10,0.0,0.0
IBSR_10,0.48665471479613065,0.3215754656615402
IBSR_10,0.5870734862192609,0.4155017833506126
IBSR_02,0.699378614059034,0.5377265218140724
IBSR_02,0.0,0.0
IBSR_02,0.09611536611577903,0.050483818402215226
IBSR_02,0.7205572076783846,0.5631804813804111
IBSR_03,0.7583084092112194,0.6107059231427238
IBSR_03,0.0,0.0
IBSR_03,0.0002901121588255506,0.0001450771237315563
IBSR_03,0.7966755783495731,0.6620621704468426
